Date,Close/Last,Volume,Open,High,Low
07/02/2021,$2574.38,1058256,$2536.79,$2576.96,$2535.38
07/01/2021,$2527.37,856230,$2496.995,$2529.25,$2496.995
06/30/2021,$2506.32,1200478,$2513.071,$2516,$2495.15
06/29/2021,$2520.37,1047478,$2535.45,$2540,$2508.74
06/28/2021,$2536.39,1405543,$2540,$2546.74,$2519.4756
06/25/2021,$2539.9,1674297,$2539.14,$2550.1,$2528.88
06/24/2021,$2545.64,946662,$2541.07,$2550.71,$2539.2
06/23/2021,$2529.23,984658,$2531,$2555.92,$2525.04
06/22/2021,$2539.99,1049310,$2529,$2545.4,$2520.53
06/21/2021,$2529.1,1312826,$2514.8,$2540.7349,$2502.685
06/18/2021,$2511.35,2665310,$2514.11,$2527.78,$2492.06
06/17/2021,$2527.42,1287791,$2510.46,$2543.93,$2510.3
06/16/2021,$2513.93,1315838,$2524.95,$2530.47,$2482.9994
06/15/2021,$2520.66,1109130,$2530.44,$2537.24,$2512.97
06/14/2021,$2527.04,1127522,$2513.39,$2528.23,$2500.94
06/11/2021,$2513.93,1262309,$2524.92,$2526.99,$2498.29
06/10/2021,$2521.6,1561733,$2494.01,$2523.26,$2494
06/09/2021,$2491.4,1006337,$2499.5,$2505,$2487.33
06/08/2021,$2482.85,1253253,$2479.9,$2494.495,$2468.24
06/07/2021,$2466.09,1192453,$2451.32,$2468,$2441.0725
06/04/2021,$2451.76,1297434,$2422.52,$2453.859,$2417.77
06/03/2021,$2404.61,917291,$2395.02,$2409.745,$2382.83
06/02/2021,$2421.28,858105,$2435.31,$2442,$2404.2
06/01/2021,$2429.81,958289,$2422,$2437.9709,$2404.88
05/28/2021,$2411.56,1205382,$2421.96,$2428.14,$2407.69
05/27/2021,$2402.51,1948113,$2436.94,$2440,$2402
05/26/2021,$2433.53,1092819,$2412.835,$2442.944,$2412.515
05/25/2021,$2409.07,941928,$2420,$2432.89,$2402.99
05/24/2021,$2406.67,1062189,$2367,$2418.48,$2360.11
05/21/2021,$2345.1,1141632,$2365.99,$2368.9999,$2342.37
05/20/2021,$2356.09,1191593,$2328.04,$2360.34,$2321.09
05/19/2021,$2308.71,967544,$2264.4,$2316.76,$2263.52
05/18/2021,$2303.43,865119,$2336.906,$2343.15,$2303.16
05/17/2021,$2321.41,991792,$2309.32,$2323.34,$2295
05/14/2021,$2316.16,1331248,$2291.83,$2321.14,$2283.32
05/13/2021,$2261.97,1333508,$2261.09,$2276.6012,$2242.72
05/12/2021,$2239.08,1746664,$2261.71,$2285.37,$2230.05
